Churn_Probability,Risk_Tier,Action,Urgency,Customer_ID,Actual_Churn
0.9095493907491998,Critical Risk,Immediate senior retention agent escalation,Urgent,CUST_10782,1
0.12330505931965748,Low Risk,Standard engagement & loyalty perks,None,CUST_12042,0
0.008188212864444714,Low Risk,Standard engagement & loyalty perks,None,CUST_10429,0
0.16391348175906054,Low Risk,Standard engagement & loyalty perks,None,CUST_10592,0
0.03734006211180124,Low Risk,Standard engagement & loyalty perks,None,CUST_10515,0
0.6696142614695247,High Risk,Proactive outreach & discounted renewal offer,Medium,CUST_12492,1
0.4698076904948683,Medium Risk,Automated satisfaction check-in & feature updates,Low,CUST_11278,0
0.1257177501575479,Low Risk,Standard engagement & loyalty perks,None,CUST_11284,0
0.16702665671531772,Low Risk,Standard engagement & loyalty perks,None,CUST_10237,0
0.06735827211623194,Low Risk,Standard engagement & loyalty perks,None,CUST_10299,0
0.8453666536406041,Critical Risk,Immediate senior retention agent escalation,Urgent,CUST_10294,1
0.8725986706149652,Critical Risk,Immediate senior retention agent escalation,Urgent,CUST_11730,1
0.03658831743579178,Low Risk,Standard engagement & loyalty perks,None,CUST_11880,0
0.13982078663902064,Low Risk,Standard engagement & loyalty perks,None,CUST_11753,0
0.891866590483299,Critical Risk,Immediate senior retention agent escalation,Urgent,CUST_10119,1
0.9344085393814503,Critical Risk,Immediate senior retention agent escalation,Urgent,CUST_11687,1
0.3035214402714403,Medium Risk,Automated satisfaction check-in & feature updates,Low,CUST_11978,0
0.21165613030637767,Low Risk,Standard engagement & loyalty perks,None,CUST_11703,0
0.04519005764562253,Low Risk,Standard engagement & loyalty perks,None,CUST_11427,0
0.13384398666319844,Low Risk,Standard engagement & loyalty perks,None,CUST_12292,0
0.19927878593349896,Low Risk,Standard engagement & loyalty perks,None,CUST_10499,0
0.18249253887351027,Low Risk,Standard engagement & loyalty perks,None,CUST_10033,0
0.11718922952930243,Low Risk,Standard engagement & loyalty perks,None,CUST_12286,0
