Record_ID,Date,TV_Spend,Digital_Spend,Radio_Spend,Discount,Quantity,Region,Category,Competitor_Price,Customer_Count,Advertising_Spend,Sales,Profit,Month,Year
T-000,2022-01-01,8457.79580694621,6928.32189093098,3421.3010303015276,4.483449139739813,208,North,Sports,234.72146214250563,1807,3739.2795103643416,42015.17531123654,825.9550135960878,10,2023
T-001,2022-01-01,10870.245812400082,5375.49785885538,1423.0390686416079,26.04378172104643,465,West,Sports,242.70072445238367,1682,19374.628801305542,38220.19613287269,586.8527290298196,10,2023
T-002,2022-01-01,9240.068953038835,11862.811289098869,3702.450708400715,4.874788040291245,284,North,Food,184.02881834977535,100,28529.626725753213,25121.472822312637,4908.0796333902035,6,2023
T-004,2022-01-01,6642.994590414119,2664.745721919049,1318.8904032477944,3.7145994854832454,53,South,Food,104.29564603375388,3246,13973.97054360686,21342.25660282009,1664.1604493217556,5,2022
T-005,2022-01-01,9865.464639466514,2103.452311042956,2923.170938647401,25.440246879667033,93,North,Electronics,491.31485331080864,2647,22103.193950817815,22889.00712184853,1469.8796520404517,1,2023
T-006,2022-01-01,6845.0145633090415,7906.678240491701,3001.005463232011,24.21956876175032,443,East,Home,232.75422184158995,2886,22524.901360018805,38240.71966460507,3109.605792793275,9,2022
T-007,2022-01-01,13430.708511340157,3188.840909969429,2904.0343383752797,17.073022158437798,307,East,Electronics,306.1448420421315,2783,9902.595622915767,25208.754246558034,4890.8825831296845,11,2022
T-008,2022-01-01,14473.110027264924,5702.4671197044145,1193.0999999390297,12.215498916779989,103,East,Food,204.62247641664442,443,4473.3691238291285,47177.79637629905,1728.5400558225708,6,2023
T-009,2022-01-01,6059.902022973777,3084.221985618912,4768.470156433226,2.0750098636541416,184,North,Sports,404.9927499737588,4478,13872.481594566254,16575.506846212702,4865.337832329504,6,2022
T-010,2022-01-01,11980.013052198636,2075.841087017133,2290.914355226374,20.92286319433691,415,North,Home,235.11758631707204,3287,12361.455257784772,22179.19132563268,614.7380703528268,6,2022
T-011,2022-01-01,8168.976336417115,1502.4266657388007,4247.402495108527,13.606280480342065,211,East,Food,211.67213767703856,4624,16423.626135079096,36371.37275727597,4496.196674379697,12,2022
T-012,2022-01-01,8736.646135862018,7944.6891556902265,3527.448449055771,21.661667984110437,355,North,Clothing,229.7745096422406,927,25515.372772786955,45368.15470714146,3688.739772116495,2,2023
T-013,2022-01-01,13921.151255243585,1830.558825913643,1557.4410591901549,25.991469777858875,490,East,Food,185.82389416738246,1949,16551.961786668384,10447.694582048844,1749.9815313417973,1,2022
T-014,2022-01-01,1530.0228438693607,2519.671867824631,4087.6093165421385,29.265645150086574,485,West,Clothing,398.848899859975,2321,20727.834380334858,15869.555892228345,4526.884364801399,1,2023
T-015,2022-01-01,1763.3748456723404,4550.957013799377,2042.8781301502247,25.67410027177833,339,East,Sports,466.7958185793417,3304,18666.149865193252,15271.862445516708,619.3514866953908,1,2023
T-016,2022-01-01,793.1667628847229,9887.720112205634,4417.405665844692,0.35142252555005915,38,West,Clothing,196.38963732154838,3613,3855.8620975551544,27027.919797546172,3315.3647780476776,1,2022
T-017,2022-01-01,12572.987760445101,1345.795054358123,2948.2370759157075,10.799341934350917,219,West,Electronics,478.7918025740792,193,3668.7999827467597,45118.520487129026,1982.9421986543714,11,2023
T-018,2022-01-01,11783.272888772832,10087.749908485886,4420.503273088779,21.89971687272174,115,North,Electronics,56.276778170036906,2567,2623.009022133988,21114.836380180503,4852.045088115584,1,2023
T-019,2022-01-01,13115.176149578878,1333.9612131487643,3493.4047913810527,5.1488903178432155,452,South,Electronics,290.05955678791804,3878,3509.442215782253,22335.683834746746,1258.593821667927,11,2022
T-020,2022-01-01,14689.965962375078,11722.22168715807,3653.7459711162387,15.631098186123879,394,South,Electronics,187.06191380415848,504,7878.025515522631,46252.715869858184,4556.673438410397,8,2022
T-021,2022-01-01,12087.799181142493,5730.084179442879,2556.489471440841,1.6301396501776089,480,South,Electronics,447.28699911970597,1309,25345.876037770235,10121.748817543754,1984.710428920461,7,2022
T-022,2022-01-01,7191.450752667512,11725.780840645979,4784.809810143797,5.999895746892002,73,North,Clothing,162.78022408724843,475,16148.745435868022,33400.64937069759,4501.549947789501,4,2022
T-023,2022-01-01,11817.673056153604,7337.177132991543,3255.5519762252234,0.5556538338184192,26,North,Electronics,354.8353232623749,4045,15879.17103197482,10976.674944591223,2806.0324644158923,6,2022
T-024,2022-01-01,2214.979175099532,8923.310236899959,2176.8897379350806,23.81093110072262,116,West,Home,414.69084106695084,2850,19845.127232180148,21841.00614371395,2797.83008121281,5,2023
T-025,2022-01-01,9778.854809249095,662.4159486009839,3071.326749226829,6.717740641811404,174,West,Clothing,244.46662246616748,597,16793.13544412172,19598.218863423703,2240.7221910529965,4,2023
T-026,2022-01-01,2578.622667431173,3537.122158401633,194.04667171573428,10.360550420907082,104,South,Sports,388.4605344445702,1538,1941.4935738866493,35605.19919321928,2885.4002118165035,5,2023
T-027,2022-01-01,14197.699297218966,1618.319422315393,1577.7166017052916,27.842438803967728,34,West,Clothing,423.3210115674736,838,17824.399771858338,40799.06357626162,4751.183664034142,6,2022
T-028,2022-01-01,8066.800665376039,3694.4543307613103,3334.8503337141565,21.132432057705984,126,North,Food,220.56519744671817,4615,23361.582396928978,27677.0125345746,4517.880111352775,11,2023
T-029,2022-01-01,6512.598129862592,1600.9870836600799,1521.3802753311759,0.9551678859392354,201,West,Sports,93.44732442235613,3390,11910.570653893428,18330.90747670142,3547.0147992494813,2,2023
T-030,2022-01-01,4336.0563755170915,3952.201516848917,3128.2756020943234,4.940824694937382,205,North,Electronics,165.26280983662053,2075,15239.71748612109,44868.30210509531,3375.6232302121157,4,2022
T-031,2022-01-01,11726.388496796142,5088.303335273105,2200.966634634254,18.644352044992907,317,South,Electronics,316.37082118480237,1662,29467.550731717998,20834.1752417265,2967.626019988629,7,2023
T-032,2022-01-01,7114.179817139954,956.9404569156554,763.8229146900061,17.316857658125027,146,East,Food,264.41474024742377,560,8094.891013603135,38227.56519621257,1727.0740303885282,8,2022
T-033,2022-01-01,8742.292258595404,8371.171008566234,1561.5833971845507,7.136784641235259,450,East,Electronics,269.57055604422965,3774,11855.3727024794,29991.25683617787,1167.2088896643252,5,2022
T-034,2022-01-01,772.4521063271495,6885.897159637587,2892.828062436198,28.026419937743814,357,North,Sports,256.33154850649277,3223,2324.1296176803744,14068.297099544825,4353.363395750959,1,2022
T-035,2022-01-01,9455.714707600217,3331.595993085456,2995.276530116049,18.41897867897688,103,East,Sports,286.06667933968157,1938,9991.961559099542,29683.359332591466,3357.7555954196728,1,2022
T-036,2022-01-01,9375.38797947511,6374.327030907056,2914.193719362936,16.06898409074875,389,South,Sports,248.90689300769156,1568,25114.062596291977,28383.927325229615,1848.39572411387,8,2023
T-037,2022-01-01,9445.542954683975,1308.4980269496118,3300.6840172999546,17.69729929063713,248,West,Clothing,433.68571570205296,4836,24403.662243625928,20695.219887676976,2570.988678761242,11,2023
T-038,2022-01-01,14184.34713846205,6996.168647562916,3295.3060230082756,21.90366088550309,97,West,Clothing,245.04753851121015,3566,19560.70050368371,6107.898067540506,610.373287554215,4,2023
T-039,2022-01-01,10386.394337000509,11165.695131399327,2213.9503336264725,9.358349864388057,170,West,Sports,422.0916657262886,4143,11674.96965746449,11697.318654942886,3011.2929541580493,4,2023
T-040,2022-01-01,5712.864558319897,3959.1136389256194,4493.078319670209,11.946631866482756,157,South,Clothing,279.203929415684,4523,10069.845577432205,10933.341717332863,2125.181826969426,1,2023
T-041,2022-01-01,6836.963330090451,8075.4424835714435,1901.053163234693,6.295312469253664,82,East,Clothing,88.86964116678855,4802,24253.248351540835,36856.285820394565,2762.192933460626,1,2022
T-042,2022-01-01,10615.65234094534,1755.2147763718276,2235.738133801571,5.585790176410085,465,South,Home,347.01793800032704,3087,3042.9683923806238,36908.245110430864,1191.323918174277,10,2023
T-043,2022-01-01,1373.2693386244127,8652.661008599074,4470.424439576794,28.33117169951801,97,East,Clothing,142.96757318387125,4790,20823.61585060233,32528.678649483107,2414.7843684386416,5,2022
T-044,2022-01-01,10168.11737396218,3614.991896776973,4050.3505463258202,22.186523851478626,23,West,Home,431.27389512832013,3563,12041.148104785621,35235.815732598014,4577.773282677232,5,2023
T-045,2022-01-01,10224.249109463311,2361.6580716839785,3549.054059347795,14.713764258527013,324,East,Home,356.61160809353106,3392,19383.997733219818,25138.214184246113,538.3021552548237,6,2023
T-046,2022-01-01,3550.547135570693,7120.852630758981,591.1117478302755,6.822438839199697,91,South,Clothing,130.26530718964273,2981,27879.49359418412,36323.47260347023,4859.888448893091,9,2023
T-047,2022-01-01,2369.4313159953726,437.26904501242393,4605.464807348901,7.630694453111788,130,East,Clothing,81.43655780270574,3008,25764.26340862051,22024.676518032706,3609.021764402572,9,2023
T-048,2022-01-01,5073.711088400666,9981.492344764885,3599.782367790646,1.7408748097162685,382,West,Clothing,54.35967685855813,434,15432.661377533868,9501.442218023256,947.3737746263376,1,2023
T-049,2022-01-01,5773.806178668028,255.40661907205538,4994.350332182546,13.032498766743624,449,West,Electronics,451.422346136598,841,13407.196986112698,48211.5552968708,1803.9914416426047,2,2022
