age,income,score,target
47,87987.10873172004,40.71064891256276,0
37,78492.67365825537,6.600984414024158,0
49,61192.60739840348,34.88205339694793,1
62,47061.26444588852,11.099809879131485,0
36,73964.46627227179,80.82352100092221,0
36,67869.70770843499,94.76880259644707,0
63,77903.86440055465,7.231647525793861,0
51,72703.43603363939,95.51152072917014,0
32,80991.05430638671,52.25765993367452,0
48,49295.29576878864,29.95656779538739,0
33,,7.686207527616351,0
33,,50.06242680704178,0
43,,79.45155444907486,0
11,,70.70864772666981,1
14,,5.022601146397376,0
31,,7.290183536790352,0
24,,40.28732826326371,0
44,,29.52904940479433,1
26,,23.238432305604782,0
18,,28.10044989087136,0
61,,80.34827432968846,1
36,48525.99992122842,92.92280536318539,1
41,59512.90815478034,40.510269452756646,0
18,102845.40717223728,90.61110021324971,0
31,94550.86340201422,32.1495701247882,1
41,68726.47339348064,47.64369863437916,1
22,60760.069563364006,22.602899781599973,1
45,62400.62653436523,64.0476042175844,0
30,72270.35945460833,97.89811151748088,0
35,39544.14869603189,60.34930960433786,0
30,54852.4692515331,35.78140841135489,1
67,26628.318522448208,64.78174459905284,0
39,67984.46245210558,12.292067846538757,0
24,72943.91879405481,88.86590802653987,1
52,50336.27075401252,50.30839507798363,0
21,91479.73526580066,44.93497420396421,1
43,35484.68673995318,58.58647884535192,0
10,30712.502395803596,62.47838627894025,0
20,64489.03637119944,7.177580622651303,0
42,80941.9660522431,68.26172212234025,1
51,93678.55382915738,24.193168031552958,0
42,50822.3147426212,71.39526325065899,0
38,81573.61666862591,82.25347943841967,1
35,59229.83060998585,80.39585075525203,0
17,56547.45400118361,55.25009674078891,0
29,77673.19874973345,52.016989231075115,0
33,73046.4575682684,14.287596133941172,0
55,28472.15686031501,77.53461504031355,0
45,89530.80699451792,27.140938044671437,0
13,87601.82708294904,49.669542281794655,0
44,47488.74596980941,28.42740929275167,0
34,67916.07066874819,13.382836299969314,0
29,69880.60372565477,62.95576968917366,0
49,65213.47531647814,5.4332034822903825,0
55,48993.8969230916,74.86452341262,0
53,46567.53264123897,31.758679526111667,0
27,59488.91858017109,0.013469300448532007,0
35,83454.58038518729,51.11291392372298,0
44,70872.00309188865,4.6851908527603126,1
54,52587.71335827788,27.616955782089946,0
32,75433.97421296689,70.69764874557161,1
37,3029.147587398489,6.268962162186586,1
23,82975.31400744207,83.93384923560023,0
22,25205.724424438005,0.3819922658583108,0
52,52751.18117193736,24.682386920190226,0
60,37606.60210747713,74.09040561520715,1
38,34106.37048558188,31.627014972930677,0
55,83216.5357475704,10.189238806601352,0
45,50645.97597376217,36.02339188004279,0
30,66930.07763461431,27.039328638452552,1
45,59061.58842241632,84.27119021605549,1
63,69540.81654446243,31.334791758514314,0
39,61536.43782120511,78.89324717760073,0
63,34340.15551622861,89.18721448107347,0
0,79925.3363889428,43.381741957652956,0
52,50124.868336773754,90.9943143854392,1
41,28868.362026804978,37.73180539631929,0
35,51437.69678068175,96.40784164901082,0
41,90015.19581268622,8.928952452557294,0
10,77004.43484226985,68.70192665032427,1
36,53026.957311842816,49.38140404569287,1
45,53014.84591363143,38.76488054556471,0
62,53567.298975652346,63.27118787486009,1
32,101534.95967121681,70.38570916343312,0
27,67638.70904463106,0.43632696503090873,0
32,68600.8329438214,16.69530887471987,0
53,80605.66908063684,71.30460506343186,0
44,64775.78318053027,66.63854135782064,0
32,54819.15708358594,96.60475051286772,1
47,56073.003018300435,76.1037790250783,0
41,58567.97481171872,95.0772707731338,0
54,59255.55526980317,70.25405015348069,0
29,74552.5908727396,29.805220863944314,0
35,61038.91771614599,10.536492225085647,1
34,74652.80154431159,78.18238633449356,0
18,58385.668397828355,64.4149221475916,0
44,61572.70380632181,4.818601239329623,1
43,20035.986309357846,36.005046590097834,0
40,78326.55349404963,95.67998154842861,0
36,66929.76951795985,50.04011457102012,0
-50,79960.20219719305,43.272913601970465,0
-50,2074.892436126218,45.7699605159294,1
-50,101767.49409561456,20.88827240051637,1
-50,57208.207436896526,36.87071708647952,0
-50,82163.65633475033,36.98132559871766,1
-50,39201.881457489384,5.2355020187472405,0
68,72255.4781012514,76.75676285179182,0
42,38931.68873652688,41.6504431903879,0
43,47524.6207860839,82.21798868164232,0
38,98280.62707733572,85.03480011198954,0
11,56186.35198473307,21.199405469865805,0
39,64348.657463594456,65.73534821701286,1
40,77401.35461377508,47.22818041629817,0
76,69913.63775945209,88.0156737921485,0
37,63008.37810287153,21.57406791764541,0
44,67299.2200493245,67.78132003100443,0
39,108068.31170476551,60.775212225272256,0
22,58847.62405932829,29.53014775718328,0
57,64021.98093429935,13.660090365117261,1
51,81013.08792015223,65.16397604772766,0
51,82110.51865915967,73.85974581323308,0
26,83740.6061112076,31.562734376335,0
61,72774.60444058369,64.48326040223138,0
18,37139.90174539033,39.51309076115032,0
48,92668.63064602192,71.32068832826177,1
72,37073.09213962624,19.92152748940531,0
25,66052.70930478067,89.02150026361744,0
31,44914.48299961284,28.74095964655797,0
41,58717.23306814015,36.77859877561529,0
32,66575.2482060696,5.8091952080349785,0
16,66427.14430900547,11.15122123212764,1
41,68438.41508470569,51.58619027123281,0
24,92274.22538117295,26.75926767279715,1
47,69070.6860302796,83.54802257421944,0
26,55116.867294187025,1.4693388654953843,1
63,79281.74336576715,37.90940486719362,0
28,83789.40977849282,33.73455467690927,0
35,35447.84369726015,1.9327630917601035,0
52,71948.00139699716,12.436839900051023,1
21,74023.45484621797,41.36426749186353,0
43,54048.72993280016,49.28645844474466,0
59,87514.13626623238,40.42897472548691,0
15,56998.88825934946,53.093767841209385,1
42,62511.52906943084,59.51316749056815,0
43,56538.56351432261,0.992382112783563,1
51,60311.58095162935,46.409515945350385,0
21,38074.49826209596,96.34992408875883,0
20,31198.982348114114,51.90322801295487,0
47,91890.10126449945,67.75422674589532,1
44,43060.77303363344,31.18638579168832,0
43,40172.15301087385,77.39913781527625,1
45,16932.197727925704,77.2921481876115,0
29,47220.765046209955,52.129604765413895,0
43,33538.204131850034,97.60138232792136,0
44,92840.30320272737,12.555021476265338,0
29,80196.34178685269,1.6947664889580993,1
67,46236.99309644553,77.0158211757096,1
47,105048.71610688618,80.71555373648826,1
22,79635.3097398319,12.020722912057625,1
49,53503.37232982755,26.55828329586061,0
25,10011.88570252854,1.755236336662891,0
51,105818.85145181484,29.33086107805647,1
57,32208.550664728078,77.31418739186715,0
27,27092.025060862165,51.79605277125789,1
54,80451.4086401928,34.80955931682881,1
46,108795.04812678546,37.17392949063303,0
52,87685.45637021036,0.1353625715468154,1
68,71278.18240104719,29.98005275652359,0
36,71895.08683330572,64.64587416379305,0
