,Quantity,Unit_Price,Cost_Price,Discount,Revenue,Cost,Profit,Profit_Margin,Customer_Rating,Delivery_Time_Days,Marketing_Spend,Page_Views
Quantity,120.7589484292466,-15.680289651098136,-9.683934155198779,0.03512630664442592,19166.456596226024,7613.765489296635,5139.731561440089,-0.020987872185154296,-0.17568251320544898,3.4764873505699194,502.00271549207673,330.33843133166533
Unit_Price,-15.680289651098136,9127.948548663815,5027.487519021493,-0.06561339400889628,130321.75682434216,76711.40310715874,48229.893541933554,0.3661804577460384,-0.26362682791214875,-2.8033928968584934,4944.785140130317,1532.028119022797
Cost_Price,-9.683934155198779,5027.487519021493,2793.0616198268312,-0.025398617511120315,71577.61425079415,42547.28210560815,26122.750279662567,-0.047532374976542925,-0.1827347859327213,-1.7624876807061447,2774.4041119805565,841.8319278131083
Discount,0.03512630664442592,-0.06561339400889628,-0.025398617511120315,0.003958667086460939,-4.700877386280234,-0.9851228835140398,-16.53223902579927,-0.0025009160087572984,-0.0018254723380594945,-0.0021524075618571032,-0.45457746334445354,-0.16130969001946063
Revenue,19166.456596226024,130321.75682434216,71577.61425079415,-4.700877386280234,7109647.566054928,2681832.545837473,1376552.891750556,7.151378451399086,-40.1134710091743,431.6074450792327,177061.68639477668,83225.09293250625
Cost,7613.765489296635,76711.40310715874,42547.28210560815,-0.9851228835140398,2681832.545837473,1653861.574906311,1091849.356515919,-0.8279919333611344,-33.86713655824298,336.9954022796775,109402.30568799835,51685.832213233254
Profit,5139.731561440089,48229.893541933554,26122.750279662567,-16.53223902579927,1376552.891750556,1091849.356515919,975031.1568067179,12.884314770066721,-15.280055624131203,254.3991525715874,73631.6906323678,35569.36082816236
Profit_Margin,-0.020987872185154296,0.3661804577460384,-0.047532374976542925,-0.0025009160087572984,7.151378451399086,-0.8279919333611344,12.884314770066721,0.006930434854316095,0.0012544885738115092,0.004991250625521266,0.12610256694537117,0.14032405108423687
Customer_Rating,-0.17568251320544898,-0.26362682791214875,-0.1827347859327213,-0.0018254723380594945,-40.1134710091743,-33.86713655824298,-15.280055624131203,0.0012544885738115092,0.1761516819571865,-0.29649596886294133,-2.7270391826522093,-1.229457325549068
Delivery_Time_Days,3.4764873505699194,-2.8033928968584934,-1.7624876807061447,-0.0021524075618571032,431.6074450792327,336.9954022796775,254.3991525715874,0.004991250625521266,-0.29649596886294133,5.67525993883792,4.059830733944955,15.305478176257992
Marketing_Spend,502.00271549207673,4944.785140130317,2774.4041119805565,-0.45457746334445354,177061.68639477668,109402.30568799835,73631.6906323678,0.12610256694537117,-2.7270391826522093,4.059830733944955,80972.23291137892,3496.236889303586
Page_Views,330.33843133166533,1532.028119022797,841.8319278131083,-0.16130969001946063,83225.09293250625,51685.832213233254,35569.36082816236,0.14032405108423687,-1.229457325549068,15.305478176257992,3496.236889303586,1981.1049701139839
